rank,personName,age,finalWorth,category,source,country,state,city,organization,selfMade,gender,birthDate,title
1,Elon Musk,50,219000,Automotive,Tesla- SpaceX,United States,Texas,Austin,Tesla,TRUE,M,6/28/1971,CEO
2,Jeff Bezos,58,171000,Technology,Amazon,United States,Washington,Seattle,Amazon,TRUE,M,01/12/1964,Entrepreneur
3,Bernard Arnault & family,73,158000,Fashion & Retail,LVMH,France,,Paris,LVMH Moët Hennessy Louis Vuitton,FALSE,M,03/05/1949,Chairman and CEO
4,Bill Gates,66,129000,Technology,Microsoft,United States,Washington,Medina,Bill & Melinda Gates Foundation,TRUE,M,10/28/1955,Cofounder
5,Warren Buffett,91,118000,Finance & Investments,Berkshire Hathaway,United States,Nebraska,Omaha,Berkshire Hathaway,TRUE,M,8/30/1930,CEO
6,Larry Page,49,111000,Technology,Google,United States,California,Palo Alto,Alphabet,TRUE,M,3/26/1973,Entrepreneur
7,Sergey Brin,48,107000,Technology,Google,United States,California,Los Altos,Alphabet,TRUE,M,8/21/1973,Cofounder and board member
8,Larry Ellison,77,106000,Technology,software,United States,Hawaii,Lanai,Oracle,TRUE,M,8/17/1944,CTO and Founder
9,Steve Ballmer,66,91400,Technology,Microsoft,United States,Washington,Hunts Point,Los Angeles Clippers,TRUE,M,3/24/1956,Owner
10,Mukesh Ambani,64,90700,Diversified,diversified,India,,Mumbai,Reliance Industries,FALSE,M,4/19/1957,Founder and Chairman
11,Gautam Adani & family,59,90000,Diversified,infrastructure- commodities,India,,Ahmedabad,,TRUE,M,6/24/1962,
12,Michael Bloomberg,80,82000,Media & Entertainment,Bloomberg LP,United States,New York,New York,Bloomberg L.P.,TRUE,M,2/14/1942,CEO
13,Carlos Slim Helu & family,82,81200,Telecom,telecom,Mexico,,Mexico City,América Móvil,TRUE,M,1/28/1940,Honorary Chairman
14,Francoise Bettencourt Meyers & family,68,74800,Fashion & Retail,L'Oréal,France,,Paris,,FALSE,F,07/10/1953,
15,Mark Zuckerberg,37,67300,Technology,Facebook,United States,California,Palo Alto,Meta Platforms,TRUE,M,5/14/1984,Cofounder
16,Jim Walton,73,66200,Fashion & Retail,Walmart,United States,Arkansas,Bentonville,Arvest Bank Group- Inc.,FALSE,M,06/07/1948,Chairman and CEO
17,Zhong Shanshan,67,65700,Food & Beverage,beverages- pharmaceuticals,China,,Hangzhou,,TRUE,M,12/01/1954,
18,Alice Walton,72,65300,Fashion & Retail,Walmart,United States,Texas,Fort Worth,Crystal Bridges Museum of American Art,FALSE,F,10/07/1949,Philanthropist
19,Rob Walton,77,65000,Fashion & Retail,Walmart,United States,Arkansas,Bentonville,Walmart,FALSE,M,10/27/1944,Director
19,Changpeng Zhao,44,65000,Finance & Investments,cryptocurrency exchange,Singapore,,Singapore,,TRUE,M,09/10/1977,
21,Charles Koch,86,60000,Diversified,Koch Industries,United States,Kansas,Wichita,Koch Industries,FALSE,M,11/01/1935,CEO
21,Julia Koch & family,59,60000,Diversified,Koch Industries,United States,New York,New York,,FALSE,F,04/12/1962,
23,Amancio Ortega,86,59600,Fashion & Retail,Zara,Spain,,La Coruna,,TRUE,M,3/28/1936,
24,Michael Dell,57,55100,Technology,Dell computers,United States,Texas,Austin,Dell Inc.,TRUE,M,2/23/1965,Chairman and CEO
25,Zhang Yiming,38,50000,Media & Entertainment,TikTok,China,,Beijing,ByteDance,TRUE,M,01/01/1984,Founder
26,David Thomson & family,64,49200,Media & Entertainment,media,Canada,,Toronto,Thomson Reuters Corporation,FALSE,M,06/12/1957,Chairman
27,Phil Knight & family,84,47300,Fashion & Retail,Nike,United States,Oregon,Hillsboro,Nike,TRUE,M,2/24/1938,Chairman
28,Dieter Schwarz,82,47100,Fashion & Retail,retail,Germany,,Neckarsulm,,FALSE,M,9/24/1939,
29,Robin Zeng,53,44800,Automotive,batteries,China,,Ningde,,TRUE,M,01/01/1969,
30,MacKenzie Scott,51,43600,Technology,Amazon,United States,Washington,Seattle,,FALSE,F,04/07/1970,Philanthropist
31,Rodolphe Saadé & family,52,41400,Logistics,shipping,France,,Marseille,CMA CGM,FALSE,M,03/03/1970,Chairman and CEO
32,François Pinault & family,85,40400,Fashion & Retail,luxury goods,France,,Paris,,TRUE,M,8/21/1936,
33,Klaus-Michael Kuehne,84,37300,Logistics,shipping,Switzerland,,Schindellegi,,FALSE,M,06/02/1937,
34,Ma Huateng,50,37200,Technology,internet media,China,,Shenzhen,Tencent Holdings,TRUE,M,10/29/1971,Chairman and CEO
35,Beate Heister & Karl Albrecht Jr. & family,,36800,Fashion & Retail,supermarkets,Germany,,,,FALSE,,,
